user_id,article_id,rating,timestamp,days_since_last_rating,location,user_preference_Boring presentation,user_preference_Graphics,user_preference_Readability,user_preference_Consistency,user_preference_Images,user_preference_Bullets,user_preference_Text size,user_preference_Text heavy,user_preference_Tables,user_preference_Agenda,user_preference_Infographics,user_preference_Positioning,user_preference_Presentation length,user_preference_General tips,user_preference_Presentation skills,user_preference_Powerpoint knowledge,user_preference_tips and tricks,user_preference_Explanation of the problem,user_type_business,user_type_teacher,user_type_student,user_type_researcher,user_type_manager,user_type_technical,user_type_specialist,presentation_type_formal_x,presentation_type_creative_x,presentation_type_students_x,presentation_type_technical_x,presentation_type_branding_x,Boring presentation,Graphics,Readability,Consistency,Images,Bullets,Text size,Text heavy,Tables,Agenda,Infographics,Positioning,Presentation length,General tips,Presentation skills,Powerpoint knowledge,tips and tricks,Explanation of the problem,location_restrictions,Main issue,popularity,submission_date,days_since_first_submission,presentation_type_formal_y,presentation_type_creative_y,presentation_type_students_y,presentation_type_technical_y,presentation_type_branding_y,audience_type_academic,audience_type_business,audience_type_kids,audience_type_general,audience_type_creative,audience_type_specialized
11,1,3.0,2009-09-26 20:00:00+00:00,1395.8334,Illinois,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
12,1,2.0,2006-10-29 17:00:00+00:00,332.70834,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
13,1,2.5,2017-07-05 00:00:00+00:00,4234.0,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
14,1,2.5,2024-03-03 05:00:00+00:00,6667.2085,Florida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
15,1,2.0,2021-02-27 08:00:00+00:00,5567.3335,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
16,1,2.0,2010-09-06 19:00:00+00:00,1740.7916,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
17,1,2.5,2007-11-10 18:00:00+00:00,709.75,Illinois,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
18,1,2.0,2016-10-28 16:00:00+00:00,3984.6667,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
19,1,3.0,2023-02-22 03:00:00+00:00,6292.125,New York,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
20,1,3.0,2014-02-27 08:00:00+00:00,3010.3333,Illinois,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
21,1,4.0,2017-03-16 05:00:00+00:00,4123.2085,Illinois,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
22,1,2.5,2015-06-12 13:00:00+00:00,3480.5417,Texas,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
23,1,5.0,2020-01-30 08:00:00+00:00,5173.3335,New York,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
24,1,3.5,2016-05-15 13:00:00+00:00,3818.5417,Florida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
25,1,3.0,2025-02-20 14:00:00+00:00,7021.5835,Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
26,1,2.0,2016-03-03 13:00:00+00:00,3745.5417,New York,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
27,1,2.0,2011-07-17 17:00:00+00:00,2054.7083,Illinois,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
28,1,5.0,2011-08-23 07:00:00+00:00,2091.2917,New York,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
29,1,2.5,2006-11-17 17:00:00+00:00,351.70834,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
30,1,2.5,2007-06-08 19:00:00+00:00,554.7917,Florida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
1,2,3.0,2023-02-25 15:00:00+00:00,6295.625,Illinois,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
2,2,2.0,2008-01-08 19:00:00+00:00,768.7917,Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
3,2,2.0,2020-08-23 15:00:00+00:00,5379.625,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
4,2,3.0,2009-03-01 02:00:00+00:00,1186.0834,New York,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
5,2,3.5,2023-02-25 15:00:00+00:00,6295.625,Florida,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
6,2,4.5,2012-05-27 07:00:00+00:00,2369.2917,California,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
7,2,2.0,2009-06-19 22:00:00+00:00,1296.9166,Illinois,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
8,2,3.0,2017-05-02 04:00:00+00:00,4170.1665,California,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
9,2,2.0,2018-07-17 22:00:00+00:00,4611.9165,Texas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
10,2,2.0,2011-07-15 22:00:00+00:00,2052.9167,Illinois,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
11,2,3.0,2006-01-15 04:00:00+00:00,45.166668,Illinois,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
12,2,2.0,2009-09-24 07:00:00+00:00,1393.2916,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
13,2,2.5,2011-06-02 20:00:00+00:00,2009.8334,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
14,2,2.5,2008-01-15 17:00:00+00:00,775.7083,Florida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
15,2,3.5,2007-06-10 05:00:00+00:00,556.2083,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
16,2,2.0,2018-11-21 14:00:00+00:00,4738.5835,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
17,2,4.0,2007-01-22 00:00:00+00:00,417.0,Illinois,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
18,2,3.5,2007-12-14 14:00:00+00:00,743.5833,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
19,2,3.0,2020-09-20 02:00:00+00:00,5407.0835,New York,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
20,2,2.0,2020-03-18 22:00:00+00:00,5221.9165,Illinois,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
21,2,3.0,2018-05-23 20:00:00+00:00,4556.8335,Illinois,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
22,2,2.5,2021-03-23 12:00:00+00:00,5591.5,Texas,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
23,2,5.0,2011-08-09 18:00:00+00:00,2077.75,New York,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
24,2,3.5,2008-07-16 11:00:00+00:00,958.4583,Florida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
25,2,2.0,2021-02-01 13:00:00+00:00,5541.5415,Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
26,2,2.0,2012-06-28 09:00:00+00:00,2401.375,New York,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
27,2,2.0,2009-08-05 01:00:00+00:00,1343.0416,Illinois,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
28,2,5.0,2020-06-11 03:00:00+00:00,5306.125,New York,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
29,2,2.0,2025-06-10 18:00:00+00:00,7131.75,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
30,2,2.0,2017-06-20 10:00:00+00:00,4219.4165,Florida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,North America,General,1.05,2024-11-27 18:00:00+00:00,6936.75,0,0,0,0,0,0,0,0,0,0,0
1,3,4.5,2025-06-03 18:00:00+00:00,7124.75,Illinois,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
2,3,3.5,2014-05-24 22:00:00+00:00,3096.9167,Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
3,3,3.5,2017-03-02 17:00:00+00:00,4109.7085,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
4,3,4.5,2018-04-16 10:00:00+00:00,4519.4165,New York,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
5,3,2.0,2005-12-29 21:00:00+00:00,28.875,Florida,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
6,3,3.0,2022-02-23 03:00:00+00:00,5928.125,California,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
7,3,2.0,2019-02-17 23:00:00+00:00,4826.9585,Illinois,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
8,3,4.0,2007-03-01 07:00:00+00:00,455.29166,California,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
9,3,2.0,2022-03-10 23:00:00+00:00,5943.9585,Texas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,Europe,General,0.8,2017-01-30 13:00:00+00:00,4078.5417,0,0,0,0,0,0,0,0,0,0,0
